availability_id,availability_30,availability_60,availability_90,availability_365,listing_id
1,0,0,0,0,NULL
2,13,38,68,130,NULL
3,28,58,88,361,NULL
4,22,24,24,103,NULL
5,23,53,83,322,NULL
6,1,31,46,264,NULL
7,16,18,18,18,NULL
8,0,0,0,0,NULL
9,0,0,0,0,NULL
10,4,31,61,326,NULL
11,12,41,71,341,NULL
12,0,14,35,264,NULL
13,4,34,37,211,NULL
14,20,46,46,116,NULL
15,18,44,44,111,NULL
16,5,31,61,208,NULL
17,28,58,88,178,NULL
18,21,46,76,351,NULL
19,19,46,61,320,NULL
20,5,23,53,308,NULL
21,12,14,14,191,NULL
22,22,52,77,349,NULL
23,22,47,47,303,NULL
24,11,32,32,288,NULL
25,29,54,54,304,NULL
26,28,58,86,347,NULL
27,0,0,0,0,NULL
28,20,45,56,193,NULL
29,0,0,0,0,NULL
30,21,51,81,356,NULL
31,29,31,31,303,NULL
32,27,45,45,242,NULL
33,22,26,26,107,NULL
34,30,60,90,365,NULL
35,7,7,7,66,NULL
36,0,0,0,184,NULL
37,28,58,88,178,NULL
38,28,58,88,363,NULL
39,28,58,88,96,NULL
40,0,27,49,289,NULL
41,4,6,6,163,NULL
42,14,16,25,25,NULL
43,0,0,0,0,NULL
44,0,0,0,91,NULL
45,0,0,0,91,NULL
46,22,52,82,332,NULL
47,0,0,0,273,NULL
48,0,0,0,0,NULL
49,30,60,90,365,NULL
50,29,59,89,179,NULL
51,13,43,46,46,NULL
52,0,0,0,0,NULL
53,24,36,45,45,NULL
54,15,45,75,350,NULL
55,7,29,52,307,NULL
56,4,16,45,313,NULL
57,4,28,58,327,NULL
58,4,30,60,329,NULL
59,0,27,57,308,NULL
60,4,6,6,135,NULL
61,13,35,35,214,NULL
62,30,60,90,365,NULL
63,22,52,82,174,NULL
64,29,59,89,364,NULL
65,0,0,0,155,NULL
66,0,0,0,192,NULL
67,0,0,0,0,NULL
68,6,18,38,287,NULL
69,20,46,76,329,NULL
70,27,57,87,361,NULL
71,12,15,15,15,NULL
72,9,35,57,324,NULL
73,29,59,89,364,NULL
74,29,59,89,364,NULL
75,11,26,28,195,NULL
76,0,0,0,0,NULL
77,30,60,90,365,NULL
78,27,57,87,362,NULL
79,15,45,75,340,NULL
80,29,59,89,364,NULL
81,30,32,60,181,NULL
82,0,0,0,164,NULL
83,16,46,76,349,NULL
84,29,59,89,364,NULL
85,30,60,90,365,NULL
86,11,41,59,198,NULL
87,28,58,88,363,NULL
88,7,25,49,292,NULL
89,29,59,89,179,NULL
90,14,41,71,186,NULL
91,18,42,67,125,NULL
92,0,0,1,19,NULL
93,25,47,61,84,NULL
94,9,39,69,344,NULL
95,0,0,0,0,NULL
