listing_id,id,listing_url,name,neighbourhood,latitude,longitude,property_type,room_type,accommodates,bathrooms,bedrooms,beds,price,minimum_nights,maximum_nights,license,instant_bookable,listing_host_id,airbnb_id,geom
48,117009,https://www.airbnb.com/rooms/117009,new apartment,Modica,36.84416,14.7696,Entire rental unit,Entire home/apt,2,NULL,1,NULL,NULL,31,730,NULL,f,NULL,NULL,0101000020E6100000D200DE02098A2D40B24B546F0D6C4240
2686,5064536,https://www.airbnb.com/rooms/5064536,Casa con vista panoramica,Borgetto,38.04931,13.15631,Entire home,Entire home/apt,5,NULL,2,NULL,NULL,31,1125,NULL,f,NULL,NULL,0101000020E6100000551344DD07502A40D1AE42CA4F064340
1185,2195727,https://www.airbnb.com/rooms/2195727,Welcome to Casa del Mar Sicilia,Modica,36.70898,14.79127,Entire vacation home,Entire home/apt,2,NULL,2,NULL,NULL,31,365,NULL,f,NULL,NULL,0101000020E6100000A29C685721952D4050C24CDBBF5A4240
1875,3361883,https://www.airbnb.com/rooms/3361883,casa timperosse,Scicli,36.76774,14.62198,Entire rental unit,Entire home/apt,4,NULL,2,NULL,NULL,31,1125,NULL,f,NULL,NULL,0101000020E61000003C889D29743E2D4060EAE74D45624240
2510,4617376,https://www.airbnb.com/rooms/4617376,Monolocale Flowers,Bronte,37.78933,14.83909,Entire rental unit,Entire home/apt,3,1,1,2,55,31,1125,NULL,f,NULL,NULL,0101000020E610000021CD58349DAD2D4037E0F3C308E54240
2613,4914729,https://www.airbnb.com/rooms/4914729,Casale Granati Vecchi,Rosolini,36.84263,14.95901,Farm stay,Entire home/apt,11,6,6,10,225,7,15,IT089016B9V4QO5RLE,f,NULL,NULL,0101000020E6100000EC12D55B03EB2D407250C24CDB6B4240
2656,5001077,https://www.airbnb.com/rooms/5001077,holidayhouse Casa Nonna,Balestrate,38.04595,13.01466,Entire home,Entire home/apt,6,NULL,4,NULL,NULL,31,100,NULL,f,NULL,NULL,0101000020E6100000641EF98381072A4027A089B0E1054340
3261,6164824,https://www.airbnb.com/rooms/6164824,Nice location to 100mt from see,Noto,36.86333,15.1195,Entire guest suite,Entire home/apt,3,NULL,1,NULL,NULL,31,1125,NULL,f,NULL,NULL,0101000020E610000077BE9F1A2F3D2E40EDD3F198816E4240
3536,6582502,https://www.airbnb.com/rooms/6582502,SICILIA NOTO MODICA RAGUSANO,Noto,36.87008,14.96296,Entire villa,Entire home/apt,14,6.5,6,8,3570,31,1125,NULL,f,NULL,NULL,0101000020E61000005BB6D61709ED2D40AC730CC85E6F4240
3805,7046542,https://www.airbnb.com/rooms/7046542,Casavacanze villa Giulia,Sciacca,37.52553,13.11209,Entire villa,Entire home/apt,4,NULL,1,NULL,NULL,31,1125,NULL,f,NULL,NULL,0101000020E6100000D36A48DC63392A409088299144C34240
